slot_type,slot,use_custom_description,custom_description
Fleet,EffYears,FALSE,Years representing join-points (vertices) of time-varying effort. Vector. Non-negative real numbers
Fleet,EffLower,FALSE,Lower bound on relative effort corresponding to EffYears. Vector. Non-negative real numbers
Fleet,EffUpper,FALSE,Upper bound on relative effort corresponding to EffYears. Vector. Non-negative real numbers
Fleet,Esd,FALSE,Additional inter-annual variability in fishing mortality rate. Uniform distribution lower and upper bounds. Non-negative real numbers
Fleet,qinc,FALSE,Average percentage change in fishing efficiency (applicable only to forward projection and input controls). Uniform distribution lower and upper bounds. Non-negative real numbers
Fleet,qcv,FALSE,Inter-annual variability in fishing efficiency (applicable only to forward projection and input controls). Uniform distribution lower and upper bounds. Non-negative real numbers
Fleet,L5,FALSE,Shortest length corresponding to 5 percent vulnerability. Uniform distribution lower and upper bounds. Positive real numbers
Fleet,LFS,FALSE,Shortest length that is fully vulnerable to fishing. Uniform distribution lower and upper bounds. Positive real numbers
Fleet,Vmaxlen,FALSE,The vulnerability of fish at Stock@Linf . Uniform distribution lower and upper bounds. Fraction
Fleet,isRel,FALSE,Selectivity parameters in units of size-of-maturity (or absolute eg cm). Single value. Boolean.
Fleet,LR5,FALSE,Shortest length corresponding ot 5 percent retention. Uniform distribution lower and upper bounds. Non-negative real numbers
Fleet,LFR,FALSE,Shortest length that is fully retained. Uniform distribution lower and upper bounds. Non-negative real numbers
Fleet,Rmaxlen,FALSE,The retention of fish at Stock@Linf . Uniform distribution lower and upper bounds. Non-negative real numbers
Fleet,DR,FALSE,Discard rate - the fraction of caught fish that are discarded. Uniform distribution lower and upper bounds. Fraction
Fleet,SelYears,FALSE,(Optional) Years representing join-points (vertices) at which historical selectivity pattern changes. Vector. Positive real numbers
Fleet,AbsSelYears,FALSE,"(Optional) Calendar years corresponding with SelYears (eg 1951, rather than 1), used for plotting only. Vector (of same length as SelYears). Positive real numbers"
Fleet,L5Lower,FALSE,(Optional) Lower bound of L5 (use ChooseSelect function to set these). Vector. Non-negative real numbers
Fleet,L5Upper,FALSE,(Optional) Upper bound of L5 (use ChooseSelect function to set these). Vector. Non-negative real numbers
Fleet,LFSLower,FALSE,(Optional) Lower bound of LFS (use ChooseSelect function to set these). Vector. Non-negative real numbers
Fleet,LFSUpper,FALSE,(Optional) Upper bound of LFS (use ChooseSelect function to set these). Vector. Non-negative real numbers
Fleet,VmaxLower,FALSE,(Optional) Lower bound of Vmaxlen (use ChooseSelect function to set these). Vector. Fraction
Fleet,VmaxUpper,FALSE,(Optional) Upper bound of Vmaxlen (use ChooseSelect function to set these). Vector. Fraction
Fleet,CurrentYr,FALSE,The current calendar year (final year) of the historical simulations (eg 2011). Single value. Positive integer.
Fleet,MPA,FALSE,(Optional) Matrix specifying spatial closures for historical years.
Obs,Name,FALSE,The name of the observation model object. Single value. Character string.
Obs,Cobs,FALSE,Log-normal catch observation error expressed as a coefficient of variation. Uniform distribution lower and upper bounds. Non-negative real numbers
Obs,Cbiascv,FALSE,Log-normal coefficient of variation controlling the sampling of bias in catch observations for each simulation. Uniform distribution lower and upper bounds. Non-negative real numbers
Obs,CAA_nsamp,FALSE,Number of catch-at-age observation per time step. Uniform distribution lower and upper bounds. Positive real numbers
Obs,CAA_ESS,FALSE,Effective sample size (independent age draws) of the multinomial catch-at-age observation error model. Uniform distribution lower and upper bounds. Positive integers
Obs,CAL_nsamp,FALSE,Number of catch-at-length observation per time step. Uniform distribution lower and upper bounds. Positive integers
Obs,CAL_ESS,FALSE,Effective sample size (independent length draws) of the multinomial catch-at-length observation error model. Uniform distribution lower and upper bounds. Positive integers
Obs,Iobs,FALSE,Observation error in the relative abundance indices expressed as a coefficient of variation. Uniform distribution lower and upper bounds. Positive real numbers
Obs,Ibiascv,FALSE,Log-normal coefficient of variation controlling error in observations of relative abundance index. Uniform distribution lower and upper bounds. Positive real numbers
Obs,Btobs,FALSE,Log-normal coefficient of variation controlling error in observations of current stock biomass among years. Uniform distribution lower and upper bounds. Positive real numbers
Obs,Btbiascv,FALSE,Uniform-log bounds for sampling persistent bias in current stock biomass. Uniform-log distribution lower and upper bounds. Positive real numbers
Obs,beta,FALSE,A parameter controlling hyperstability/hyperdepletion where values below 1 lead to hyperstability (an index that decreases slower than true abundance) and values above 1 lead to hyperdepletion (an index that decreases more rapidly than true abundance). Uniform distribution lower and upper bounds. Positive real numbers
Obs,LenMbiascv,FALSE,Log-normal coefficient of variation for sampling persistent bias in length at 50 percent maturity. Uniform distribution lower and upper bounds. Positive real numbers
Obs,Mbiascv,FALSE,Log-normal coefficient of variation for sampling persistent bias in observed natural mortality rate. Uniform distribution lower and upper bounds. Positive real numbers
Obs,Kbiascv,FALSE,Log-normal coefficient of variation for sampling persistent bias in observed growth parameter K. Uniform distribution lower and upper bounds. Positive real numbers
Obs,t0biascv,FALSE,Log-normal coefficient of variation for sampling persistent bias in observed t0. Uniform distribution lower and upper bounds. Positive real numbers
Obs,Linfbiascv,FALSE,Log-normal coefficient of variation for sampling persistent bias in observed maximum length. Uniform distribution lower and upper bounds. Positive real numbers
Obs,LFCbiascv,FALSE,Log-normal coefficient of variation for sampling persistent bias in observed length at first capture. Uniform distribution lower and upper bounds. Positive real numbers
Obs,LFSbiascv,FALSE,Log-normal coefficient of variation for sampling persistent bias in length-at-full selection. Uniform distribution lower and upper bounds. Positive real numbers
Obs,FMSYbiascv,FALSE,Log-normal coefficient of variation for sampling persistent bias in FMSY. Uniform distribution lower and upper bounds. Positive real numbers
Obs,FMSY_Mbiascv,FALSE,Log-normal coefficient of variation for sampling persistent bias in FMSY/M. Uniform distribution lower and upper bounds. Positive real numbers
Obs,BMSY_B0biascv,FALSE,Log-normal coefficient of variation for sampling persistent bias in BMSY relative to unfished. Uniform distribution lower and upper bounds. Positive real numbers
Obs,Irefbiascv,FALSE,Log-normal coefficient of variation for sampling persistent bias in relative abundance index at BMSY. Uniform distribution lower and upper bounds. Positive real numbers
Obs,Brefbiascv,FALSE,Log-normal coefficient of variation for sampling persistent bias in BMSY. Uniform distribution lower and upper bounds. Positive real numbers
Obs,Crefbiascv,FALSE,Log-normal coefficient of variation for sampling persistent bias in MSY. Uniform distribution lower and upper bounds. Positive real numbers
Obs,Dbiascv,FALSE,Log-normal coefficient of variation for sampling persistent bias in stock depletion. Uniform distribution lower and upper bounds. Positive real numbers
Obs,Dobs,FALSE,Log-normal coefficient of variation controlling error in observations of stock depletion among years. Uniform distribution lower and upper bounds. Positive real numbers
Obs,hbiascv,FALSE,Log-normal coefficient of variation for sampling persistent bias in steepness. Uniform distribution lower and upper bounds. Positive real numbers
Obs,Recbiascv,FALSE,Log-normal coefficient of variation for sampling persistent bias in recent recruitment strength. Uniform distribution lower and upper bounds. Positive real numbers
Imp,Name,FALSE,The name of the Implementation error object. Single value. Character string.
Imp,TACFrac,FALSE,Mean fraction of TAC taken. Uniform distribution lower and upper bounds. Positive real number.
Imp,TACSD,FALSE,Log-normal coefficient of variation in the fraction of Total Allowable Catch (TAC) taken. Uniform distribution lower and upper bounds. Non-negative real numbers.
Imp,TAEFrac,FALSE,Mean fraction of TAE taken. Uniform distribution lower and upper bounds. Positive real number.
Imp,TAESD,FALSE,Log-normal coefficient of variation in the fraction of Total Allowable Effort (TAE) taken. Uniform distribution lower and upper bounds. Non-negative real numbers.
Imp,SizeLimFrac,FALSE,The real minimum size that is retained expressed as a fraction of the size. Uniform distribution lower and upper bounds. Positive real number.
Imp,SizeLimSD,FALSE,Log-normal coefficient of variation controlling mismatch between a minimum size limit and the real minimum size retained. Uniform distribution lower and upper bounds. Non-negative real numbers.
